AllSNP.0.0001	AllSNP.0.001	AllSNP.0.01
background668	0.0528942	0.05678935	0.0759302
background669	0.00610773	0.078717	0.0760565
background670	0.0828775	0.0695034	0.0722824
background671	0.0376133	0.08234195	0.0702878
background672	0.0479491	0.0700775	0.0681829
background673	0.0387571	0.07781835	0.072489
background674	0.103907	0.0702878	0.0718548
background675	0.029602	0.0759325	0.069985
background676	0.010428305	0.07968875	0.0714286
background677	0.05130085	0.0805406	0.0718502
background678	0.11134	0.0715309	0.072489
background679	0.0412403	0.0757654	0.0710722
background680	0.03974535	0.0729237	0.0723018
background681	0.0328486	0.07130935	0.0772765
background682	0.0634595	0.08156715	0.0698593
background683	0.07139075	0.062543	0.073592
background684	0.055907	0.07456315	0.0748906
background685	0.1481315	0.0421902	0.0749719
background686	0.0549074	0.066859	0.0715128
background687	0.0533506	0.08423205	0.0719409
background688	0.03878335	0.0753148	0.0713547
background689	0.1084825	0.0710713	0.0650214
background690	0.05424925	0.0718548	0.0710652
background691	0.0728751	0.06866995	0.0748959
background692	0.0582158	0.0822173	0.0692001
background693	0.09621255	0.06421985	0.0729855
background694	0.08087495	0.0818876	0.0718548
background695	0.0503269	0.0780475	0.0702878
background696	0.06728795	0.079422	0.0705211
background697	0.0765691	0.06262995	0.0704006
background698	0.07711365	0.06769315	0.0740337
background699	0.0745256	0.0579286	0.0719507
background700	0.08265565	0.07029875	0.0727571
background701	0.08332215	0.06350125	0.0714286
background702	0.055135	0.0712821	0.0726387
background703	0.0450589	0.06118835	0.0718548
background704	0.041782	0.06992535	0.0718548
background705	0.07378215	0.07912555	0.068655
background706	0.06879735	0.07820055	0.06944
background707	0.07074645	0.0783733	0.0715822
background708	0.0616007	0.0607615	0.0713497
background709	0.0719789	0.0934695	0.0718548
background710	0.04229985	0.0833114	0.0713138
background711	0.05630455	0.07349245	0.0681829
background712	0.08157825	0.0773269	0.0717755
background713	0.0203065	0.06265665	0.0718548
background714	0.08307635	0.07557825	0.0710652
background715	0.03532215	0.0683143	0.0764504
background716	0.05440685	0.07970645	0.0736701
background717	0.02808565	0.0716534	0.0712403
background718	0.07840935	0.07091165	0.0736701
background719	0.05407595	0.08036985	0.0688211
background720	0.0419965	0.05954575	0.0722852
background721	0.09541735	0.06971605	0.0725027
background722	0.04811105	0.06998605	0.0764343
background723	0.04309925	0.07683815	0.0726337
background724	0.05796615	0.0779689	0.0730328
background725	0.052546	0.06374115	0.0714985
background726	0.0572909	0.0792079	0.0718548
background727	0.0459515	0.06047095	0.0688924
background728	0.08142225	0.07553655	0.0758884
background729	0.0438856	0.0836693	0.0785876
background730	0.04776715	0.07804905	0.0726207
background731	0.03513325	0.07431115	0.0722385
background732	0.07696425	0.05761735	0.0754857
background733	0.0743333	0.06417415	0.0702878
background734	0.05039745	0.08257815	0.0670696
background735	0.05402235	0.06189125	0.0710011
background736	0.06218615	0.0798516	0.0750302
background737	0.08522395	0.0684122	0.0722103
background738	0.05890535	0.07156555	0.0704741
background739	0.02774265	0.0723724	0.0738018
background740	0.0529076	0.06765215	0.0721892
background741	0.0412472	0.0839914	0.073527
background742	0.05677055	0.07858415	0.0718548
background743	0.0780097	0.0808479	0.0705723
background744	0.0558896	0.05651065	0.0746083
background745	0.0873573	0.0863514	0.0732695
background746	0.05392335	0.07236395	0.0743051
background747	0.0903699	0.07075305	0.0690222
background748	0.03846255	0.07315575	0.0718548
background749	0.06012295	0.06797715	0.0728731
background750	0.1253365	0.0694296	0.0730328
background751	0.0844553	0.06739095	0.0733071
background752	0.0625799	0.06979345	0.0737626
background753	0.10378745	0.06734115	0.0721892
background754	0.0224495	0.0774256	0.0706103
background755	0.0371126	0.0619269	0.0702878
background756	0.0640154	0.0756351	0.0764358
background757	0.06500825	0.0709845	0.0730328
background758	0.0588169	0.0942024	0.0750365
background759	0.058432	0.0590741	0.0733071
background760	0.08001955	0.07637155	0.072489
background761	0.03809445	0.0681943	0.0727072
background762	0.04699935	0.0775336	0.0729295
background763	0.08634675	0.0833187	0.0711277
background764	0.063838	0.07096015	0.0691711
background765	0.02939755	0.07920115	0.0737199
background766	0.0925118	0.06846965	0.0730328
background767	0.091339	0.07259885	0.0732307
background768	0.0702863	0.0626357	0.0761706
background769	0.05144555	0.07372835	0.0676352
background770	0.05317985	0.06779605	0.0705179
background771	0.0547483	0.07489815	0.0732239
background772	0.0717884	0.07562625	0.0744454
background773	0.06724525	0.07218405	0.072489
background774	0.03124955	0.06633325	0.069498
background775	0.0752973	0.07078685	0.0718548
background776	0.0663204	0.07599655	0.0696709
background777	0.04437685	0.0616655	0.06944
background778	0.05092575	0.0716603	0.0741743
background779	0.0707123	0.0680469	0.0735459
background780	0.03421545	0.07368585	0.0742424
background781	0.0442043	0.06412175	0.0772765
background782	0.06732015	0.0680969	0.0702878
background783	0.04465905	0.08055565	0.0731308
background784	0.0456592	0.0629748	0.071729
background785	0.0316701	0.0699768	0.0711298
background786	0.0356326	0.06839175	0.073592
background787	0.0164899	0.072399	0.0702878
background788	0.0669404	0.0734027	0.0735459
background789	0.0903229	0.0761565	0.0695792
background790	0.0510318	0.0652894	0.0710652
background791	0.0318031	0.0734018	0.0658199
background792	0.07515465	0.0616378	0.0714798
background793	0.0317018	0.072049	0.0718548
background794	0.025431	0.0724438	0.0701482
background795	0.0712098	0.06122935	0.0729604
background796	0.07318135	0.06202815	0.06977
background797	0.034358	0.07947405	0.0734945
background798	0.0543062	0.06719055	0.0691162
background799	0.0929487	0.072022	0.0738923
background800	0.03372975	0.06608485	0.0744495
background801	0.04527285	0.07715315	0.0732403
background802	0.09019955	0.0664086	0.0681877
background803	0.0249201	0.0701478	0.0714286
background804	0.051362	0.0835359	0.0681829
background805	0.07583635	0.0705563	0.0784329
background806	0.0501359	0.072489	0.074367
background807	0.0483377	0.0636915	0.07783
background808	0.05227465	0.09287635	0.0705179
background809	0.1321345	0.0732734	0.0702878
background810	0.0476285	0.08461625	0.0760227
background811	0.02650455	0.0595574	0.0718548
background812	0.0666794	0.0684869	0.0721892
background813	0.03758515	0.07457925	0.0732612
background814	0.0622534	0.05997525	0.0735459
background815	0.09655565	0.075635	0.0670358
background816	0.0745959	0.0897937	0.0749613
background817	0.0755242	0.07235155	0.0688538
background818	0.04137495	0.0704629	0.0712403
background819	0.05853365	0.0772765	0.0718548
background820	0.08598595	0.07501235	0.0763714
background821	0.0372911	0.07840495	0.0670696
background822	0.0427397	0.0673919	0.072896
background823	0.09351185	0.0732807	0.0702878
background824	0.0863132	0.05732595	0.0763714
background825	0.07689425	0.0692113	0.0741363
background826	0.0562461	0.06672435	0.0780269
background827	0.0440474	0.0597681	0.0754846
background828	0.03386385	0.06920005	0.0740488
background829	0.03995815	0.0580447	0.0718548
background830	0.0528189	0.0804144	0.0697126
background831	0.08121375	0.07156725	0.071032
background832	0.0488393	0.06817865	0.0702878
background833	0.02865215	0.0556323	0.0705439
background834	0.03141295	0.0700775	0.0724844
background835	0.054005	0.0692321	0.072489
background836	0.114483	0.0722862	0.0714286
background837	0.10469925	0.06312405	0.0770397
background838	0.0624789	0.0651865	0.0789035
background839	0.0567927	0.07386415	0.069498
background840	0.0615923	0.07061345	0.0714286
background841	0.07267165	0.0825296	0.0714286
background842	0.0779035	0.05518715	0.077154
background843	0.0793362	0.0727609	0.0718548
background844	0.0632221	0.06686615	0.0714286
background845	0.0344494	0.0757593	0.0747354
background846	0.04496675	0.06603955	0.0708936
background847	0.07490355	0.06803795	0.0715409
background848	0.082253	0.0718548	0.0729136
background849	0.0198069	0.06943045	0.0722385
background850	0.07919655	0.07335145	0.0723607
background851	0.0723995	0.0707597	0.0722385
background852	0.0956118	0.08437085	0.0716712
background853	0.04744675	0.077096	0.0718548
background854	0.07323365	0.0763091	0.0724721
background855	0.020776695	0.07835515	0.0718548
background856	0.05615655	0.0630618	0.0670358
background857	0.0447379	0.0620492	0.0705723
background858	0.05882675	0.06505055	0.0740229
background859	0.05305245	0.07524485	0.069498
background860	0.0728347	0.0684045	0.0730328
background861	0.0745491	0.07184185	0.0698672
background862	0.07222715	0.0766617	0.0725992
background863	0.04425525	0.06633895	0.0730328
background864	0.1049161	0.07333325	0.0730214
background865	0.0526868	0.07333195	0.0721892
background866	0.084976	0.07455595	0.0704467
background867	0.06978945	0.06180395	0.0718548
background868	0.04957685	0.0667611	0.071809
background869	0.0585358	0.0715858	0.0750494
background870	0.06114395	0.08723435	0.0750494
background871	0.0627315	0.0854191	0.0723479
background872	0.04138295	0.0745192	0.072489
background873	0.0511819	0.0604832	0.0735375
background874	0.06773345	0.0668444	0.0718548
background875	0.0357664	0.0803474	0.0730907
background876	0.05167875	0.07737675	0.0670696
background877	0.0753186	0.07108945	0.072489
background878	0.07226045	0.07511305	0.0693675
background879	0.0494253	0.0748631	0.0735459
background880	0.05841915	0.07373235	0.0689244
background881	0.0579853	0.0771321	0.0767151
background882	0.05202305	0.08047905	0.0726586
background883	0.0469187	0.05383725	0.0749395
background884	0.0358201	0.0696122	0.0718548
background885	0.0420209	0.0657545	0.0708628
background886	0.0423354	0.07203365	0.073216
background887	0.10041085	0.0701865	0.0722116
background888	0.09698535	0.0718548	0.0710652
background889	0.04611645	0.0817045	0.0742424
background890	0.03041065	0.06247965	0.0747449
background891	0.0723422	0.0501717	0.0681744
background892	0.04105355	0.0778249	0.0742424
background893	0.0489032	0.0852174	0.068627
background894	0.0818888	0.07055135	0.0754857
background895	0.05121835	0.07097205	0.0763714
background896	0.03166135	0.0805093	0.0714286
background897	0.0810836	0.0796215	0.0772765
background898	0.0491368	0.0850596	0.0729653
background899	0.07834715	0.0791443	0.0735459
background900	0.03931525	0.06551935	0.069596
background901	0.04674205	0.08373405	0.0715643
background902	0.04082995	0.07200365	0.0709892
background903	0.0410662	0.07725505	0.0718548
background904	0.0344935	0.07281615	0.069992
background905	0.036757	0.0750313	0.0737626
background906	0.02427115	0.0648533	0.0716066
background907	0.06991275	0.0751822	0.0701308
background908	0.042197	0.06703115	0.069992
background909	0.05139195	0.0723101	0.0730328
background910	0.067588	0.0771498	0.0732774
background911	0.09360205	0.0661833	0.0725995
background912	0.0874775	0.064666	0.0726586
background913	0.05470255	0.07302525	0.0701156
background914	0.0236217	0.06021455	0.0737266
background915	0.0580092	0.06853175	0.0734011
background916	0.0608153	0.07847265	0.073216
background917	0.07314935	0.09011795	0.0694527
background918	0.0437361	0.0679404	0.0718915
background919	0.1272295	0.08356175	0.0725027
background920	0.0583169	0.07151185	0.0719507
background921	0.03619225	0.0702908	0.0718548
background922	0.01950705	0.0743599	0.0742424
background923	0.07729085	0.07502075	0.0725793
background924	0.023446	0.06685905	0.0714286
background925	0.0334233	0.0596974	0.0674209
background926	0.0757222	0.06357165	0.0704741
background927	0.04310325	0.0701088	0.0750344
background928	0.06930605	0.06740535	0.0725995
background929	0.0348837	0.06523275	0.0693089
background930	0.06346445	0.07638055	0.073056
background931	0.04220725	0.08960595	0.0720827
background932	0.1165155	0.07737345	0.0756106
background933	0.0393296	0.0682099	0.0736701
background934	0.05352275	0.05963045	0.0681744
background935	0.04840465	0.0651672	0.0721892
background936	0.07532285	0.068823	0.0639726
background937	0.04047535	0.06422605	0.0797688
background938	0.07213325	0.07330215	0.0702878
background939	0.06483875	0.05604155	0.0702878
background940	0.0404387	0.05769145	0.0736568
background941	0.0367692	0.05926845	0.0718548
background942	0.06705585	0.08403815	0.0657596
background943	0.0488707	0.05827135	0.0669029
background944	0.03397755	0.0569626	0.0736701
background945	0.0602435	0.07036825	0.0730328
background946	0.06765495	0.05956405	0.0704741
background947	0.05645875	0.05859905	0.0735459
background948	0.0844055	0.06142335	0.0718548
background949	0.0394685	0.0626357	0.0712403
background950	0.04818585	0.05103235	0.0694454
background951	0.10031285	0.076142	0.0695792
background952	0.0700243	0.0668124	0.074796
background953	0.06391055	0.0830109	0.0736375
background954	0.0769779	0.0728979	0.0681744
background955	0.04291595	0.08745855	0.073784
background956	0.05039835	0.06557535	0.0758884
background957	0.0944103	0.0657613	0.0694239
background958	0.0728344	0.06276705	0.0711313
background959	0.0913815	0.05763035	0.0725451
background960	0.02847855	0.0767186	0.0698672
background961	0.07526465	0.0816441	0.0756808
background962	0.08068695	0.07111015	0.0730616
background963	0.06997845	0.0734173	0.0724844
background964	0.1239235	0.0629076	0.071087
background965	0.0495634	0.0803242	0.0722385
background966	0.010516575	0.0736376	0.0730328
background967	0.0894088	0.0677037	0.0718548
background968	0.03959675	0.06542095	0.0673727
background969	0.0733364	0.0822616	0.0730328
background970	0.06249605	0.06145065	0.0741364
background971	0.0344074	0.08356745	0.0710011
background972	0.0520936	0.0671906	0.0691457
background973	0.0993514	0.06479635	0.0726586
background974	0.0938771	0.0669045	0.0739496
background975	0.03895005	0.07084875	0.068655
background976	0.05362205	0.06948465	0.068655
background977	0.0498188	0.062617	0.0714286
background978	0.0780114	0.0687641	0.0772765
background979	0.0757321	0.0709364	0.0699724
background980	0.06305985	0.0695562	0.0681744
background981	0.1498315	0.07706965	0.0720663
background982	0.0430429	0.080408	0.0718548
background983	0.07295185	0.07253675	0.0734228
background984	0.04237505	0.0614237	0.0685687
background985	0.071768	0.06001735	0.0718548
background986	0.06244905	0.0516986	0.0730532
background987	0.0810339	0.06314025	0.0716546
background988	0.06474255	0.08052535	0.0718548
background989	0.049266	0.0787173	0.072489
background990	0.04779035	0.08077825	0.0702878
background991	0.0673419	0.0627527	0.0701422
background992	0.0704148	0.06791835	0.0742424
background993	0.06287285	0.07421305	0.0720827
background994	0.1053351	0.06448515	0.0714276
background995	0.05378745	0.06592285	0.0719694
background996	0.09908995	0.072281	0.0706122
background997	0.07163455	0.07869355	0.071729
background998	0.0949865	0.0789476	0.0702878
background999	0.0405311	0.072022	0.0687009
background1000	0.0621022	0.06706475	0.0718125
