AllSNP.0.0001	AllSNP.0.001	AllSNP.0.01
background152	0.0757213	0.07804415	0.073537
background153	0.07081215	0.0661347	0.0735459
background154	0.04420205	0.0670696	0.0722385
background155	0.04193645	0.0818346	0.0735717
background156	0.0451431	0.08928345	0.0764875
background157	0.0379185	0.0762537	0.0733071
background158	0.0877472	0.07847415	0.0735662
background159	0.0303578	0.0702878	0.0718548
background160	0.05846605	0.08243415	0.0710652
background161	0.03723945	0.08978145	0.0680294
background162	0.0653775	0.0759493	0.0718548
background163	0.05427705	0.0721892	0.0723587
background164	0.0631733	0.05355785	0.0731028
background165	0.0465437	0.0770397	0.0745537
background166	0.0686248	0.08346065	0.0727665
background167	0.02342355	0.0877434	0.0758001
background168	0.0431812	0.0768078	0.0714286
background169	0.0544036	0.07613605	0.074367
background170	0.05137595	0.06946115	0.0714286
background171	0.07253905	0.0721719	0.0742424
background172	0.03254765	0.0893555	0.0749395
background173	0.0340097	0.0690424	0.0696799
background174	0.0681455	0.0629999	0.071745
background175	0.02915465	0.07139565	0.0670696
background176	0.065418	0.06679235	0.0736842
background177	0.07117995	0.06809015	0.0702878
background178	0.0585358	0.0703686	0.0718548
background179	0.0541165	0.06498985	0.0639354
background180	0.0452584	0.0683261	0.0693089
background181	0.04064535	0.07222715	0.0719507
background182	0.08708945	0.08105605	0.0738018
background183	0.0896713	0.0685842	0.0703532
background184	0.05378415	0.083644	0.0688924
background185	0.0718194	0.07146435	0.0725995
background186	0.0656874	0.0580076	0.0718548
background187	0.0217704	0.0868078	0.0707796
background188	0.0742113	0.06151265	0.0704741
background189	0.052784	0.06776915	0.0751372
background190	0.03978525	0.05476475	0.0726368
background191	0.08021205	0.0635768	0.0750958
background192	0.05382575	0.08026365	0.0698672
background193	0.07094935	0.07668935	0.0702878
background194	0.061404	0.05491895	0.0718548
background195	0.02034945	0.07348775	0.077858
background196	0.0723508	0.0558053	0.0768038
background197	0.08832365	0.07866985	0.0726368
background198	0.05812985	0.0692105	0.0713545
background199	0.0302574	0.07288495	0.0742424
background200	0.0869643	0.06248405	0.0710011
background201	0.04969705	0.07988465	0.0726387
background202	0.0601952	0.07697815	0.0694454
background203	0.0767405	0.07180255	0.0702878
background204	0.046688	0.0822876	0.0747051
background205	0.04334555	0.05884525	0.072489
background206	0.0615734	0.06151125	0.0730328
background207	0.0694622	0.0698765	0.0712699
background208	0.06159045	0.07066625	0.0730328
background209	0.03435135	0.07880045	0.0747527
background210	0.0629933	0.0861403	0.0718426
background211	0.0403064	0.06646675	0.0702878
background212	0.0468423	0.06926675	0.0725995
background213	0.0134797	0.08429585	0.0736701
background214	0.0624896	0.07606235	0.0707151
background215	0.1069598	0.0810218	0.0689568
background216	0.0458368	0.07323515	0.0760043
background217	0.0610185	0.0716417	0.0714286
background218	0.0798066	0.06691135	0.0745993
background219	0.08011635	0.0677296	0.0717377
background220	0.05684295	0.0771759	0.0706103
background221	0.09496055	0.0716417	0.0743237
background222	0.0468882	0.07368675	0.074066
background223	0.0657227	0.0766079	0.0669435
background224	0.04839115	0.0694844	0.072489
background225	0.0779027	0.0863329	0.0743625
background226	0.047918	0.0568738	0.0705538
background227	0.03261875	0.074985	0.0759803
background228	0.06582575	0.0760122	0.0718548
background229	0.024978	0.06272375	0.072489
background230	0.0472301	0.0841149	0.0726337
background231	0.04982235	0.0643448	0.072489
background232	0.04785075	0.08102785	0.0725995
background233	0.019906	0.07515465	0.0677648
background234	0.142411	0.08064325	0.0717323
background235	0.0727045	0.0668468	0.0725995
background236	0.0983832	0.08028345	0.0633879
background237	0.075633	0.08526885	0.0697107
background238	0.05285345	0.06604585	0.0760385
background239	0.00337486	0.0680864	0.0755598
background240	0.04068065	0.07389255	0.0718548
background241	0.05102105	0.0839072	0.0689335
background242	0.07479555	0.0752515	0.0727176
background243	0.0521759	0.0854217	0.0772765
background244	0.06582075	0.0664714	0.0739617
background245	0.02103335	0.0777032	0.0718548
background246	0.05841395	0.06625645	0.0702878
background247	0.0753334	0.0803474	0.0741412
background248	0.060238	0.082101	0.0751949
background249	0.1129665	0.0560471	0.0732013
background250	0.0486452	0.0783814	0.0717177
background251	0.0949199	0.07451685	0.0730328
background252	0.0513053	0.0802749	0.0750494
background253	0.03291085	0.07221385	0.0718548
background254	0.09822295	0.08011635	0.0730328
background255	0.0789762	0.07273075	0.0681245
background256	0.068653	0.07288095	0.0682134
background257	0.04441045	0.0591527	0.0718842
background258	0.0245578	0.0865328	0.0669647
background259	0.07050135	0.07132625	0.0735459
background260	0.0665994	0.06510145	0.074581
background261	0.08869985	0.0641111	0.0718548
background262	0.06270195	0.07280765	0.0668133
background263	0.0595862	0.0828457	0.0704191
background264	0.07740385	0.06771925	0.0741027
background265	0.08420485	0.06551935	0.0718548
background266	0.02175365	0.0596686	0.0736701
background267	0.0781868	0.0763613	0.0721892
background268	0.0673699	0.06374975	0.0702878
background269	0.07357795	0.08201445	0.0741135
background270	0.0526568	0.07632215	0.0645469
background271	0.108256	0.0666863	0.0718548
background272	0.0703545	0.0693976	0.0749395
background273	0.0696001	0.0723493	0.0735459
background274	0.0356404	0.07774305	0.069992
background275	0.04812025	0.0775468	0.0759019
background276	0.07944785	0.07335145	0.0702878
background277	0.0912437	0.072664	0.071743
background278	0.07261215	0.07707515	0.0718548
background279	0.08103085	0.0807921	0.0741363
background280	0.07298595	0.0824063	0.0736243
background281	0.0828024	0.0571687	0.0725995
background282	0.061933	0.0609682	0.0736311
background283	0.0659478	0.0796143	0.0702878
background284	0.0421175	0.06345615	0.0706847
background285	0.08750965	0.07514945	0.0690839
background286	0.1102665	0.07349725	0.0714359
background287	0.07978325	0.08301175	0.0710652
background288	0.0571825	0.0695983	0.0726586
background289	0.0701177	0.07604455	0.0737542
background290	0.04164885	0.08610425	0.073064
background291	0.03823235	0.07259885	0.0721892
background292	0.03909275	0.06722115	0.0718548
background293	0.0588377	0.0648131	0.0730328
background294	0.0952504	0.0753885	0.0729604
background295	0.054651	0.06666365	0.0693089
background296	0.1174755	0.09354815	0.0719456
background297	0.08011475	0.0682296	0.0704741
background298	0.04341345	0.0779762	0.072489
background299	0.07563845	0.07258365	0.0705723
background300	0.04928555	0.0603716	0.0734499
background301	0.04886325	0.0674172	0.0697165
background302	0.0516545	0.0757015	0.0687612
background303	0.02546545	0.0742745	0.0702878
background304	0.10548095	0.0697977	0.0707977
background305	0.0754238	0.07200985	0.0718548
background306	0.06327075	0.0713686	0.0694239
background307	0.01312375	0.08224595	0.0733599
background308	0.0619301	0.0782522	0.0726495
background309	0.0518272	0.0686767	0.0706059
background310	0.06518545	0.06084575	0.0739442
background311	0.0687699	0.06931495	0.0693089
background312	0.0222782	0.0526226	0.070866
background313	0.0649295	0.0763253	0.0758667
background314	0.0227579	0.0711452	0.0695561
background315	0.07957035	0.07045	0.0700626
background316	0.0281491	0.05847105	0.067756
background317	0.05692865	0.0707436	0.0766323
background318	0.0955201	0.0645555	0.0711578
background319	0.06041065	0.05958265	0.0737272
background320	0.09687715	0.06243055	0.073447
background321	0.05817835	0.0683557	0.0730328
background322	0.0653736	0.0709284	0.0701422
background323	0.06002475	0.07008255	0.0718548
background324	0.03123075	0.08551395	0.073973
background325	0.06884065	0.05915195	0.0752271
background326	0.04951915	0.07175985	0.0770397
background327	0.02802705	0.0712001	0.0797432
background328	0.0576918	0.07968875	0.0748602
background329	0.0268933	0.05867835	0.0754846
background330	0.0595421	0.0657539	0.0718548
background331	0.0315852	0.07372275	0.0736824
background332	0.0660283	0.08137375	0.0742457
background333	0.05880115	0.06229455	0.0698177
background334	0.03908925	0.07503625	0.0749613
background335	0.0171212	0.0691146	0.0757296
background336	0.05237735	0.06467725	0.0674081
background337	0.0716755	0.071763	0.0676127
background338	0.0861956	0.0748791	0.0694454
background339	0.05443875	0.08229	0.076128
background340	0.0748743	0.07881195	0.0718548
background341	0.03656375	0.07799355	0.0702878
background342	0.058913	0.07676505	0.0729295
background343	0.05608005	0.07376115	0.0693089
background344	0.083477	0.05882575	0.0730795
background345	0.0556774	0.05928965	0.0758557
background346	0.0501387	0.0798522	0.0755842
background347	0.06380975	0.06952495	0.0702878
background348	0.09015215	0.07710325	0.0772765
background349	0.1167718	0.07027375	0.0718548
background350	0.08071285	0.0824449	0.0730328
background351	0.0713218	0.06120475	0.0697492
background352	0.0757459	0.064058	0.0752142
background353	0.0120958	0.0745842	0.0647546
background354	0.0610061	0.0697593	0.0688924
background355	0.0750977	0.06859605	0.0803474
background356	0.02712955	0.06889055	0.0718548
background357	0.0376114	0.0726204	0.0718548
background358	0.0646077	0.06913565	0.0705723
background359	0.044925	0.06459975	0.0778565
background360	0.0465318	0.08461205	0.0688711
background361	0.0545535	0.0780502	0.0758669
background362	0.04668475	0.0695714	0.0731025
background363	0.07096005	0.07278895	0.0704323
background364	0.06647705	0.07522735	0.0725995
background365	0.0602466	0.07206995	0.0633084
background366	0.0927725	0.08081075	0.0738018
background367	0.05884655	0.07662565	0.0708213
background368	0.0389719	0.07006875	0.0718548
background369	0.06697755	0.07684335	0.0703763
background370	0.0545071	0.0772998	0.0708433
background371	0.0239008	0.0609225	0.0725812
background372	0.03768355	0.0770397	0.0688211
background373	0.06696935	0.07564105	0.0750365
background374	0.05604375	0.08304445	0.0704741
background375	0.06330765	0.07797055	0.0759904
background376	0.0711167	0.06728025	0.0721892
background377	0.05461555	0.0623163	0.0750494
background378	0.0301597	0.0691715	0.0714286
background379	0.07608855	0.0646734	0.0702878
background380	0.0545535	0.06196315	0.0744495
background381	0.09945225	0.07435785	0.0718548
background382	0.05879365	0.06990865	0.0730328
background383	0.0595422	0.06396675	0.0721892
background384	0.07344565	0.07103165	0.0683606
background385	0.0579849	0.0710233	0.0727076
background386	0.0670696	0.07739045	0.0728151
background387	0.05131575	0.0603485	0.0736701
background388	0.05613875	0.0813136	0.0727072
background389	0.0351495	0.0641659	0.065484
background390	0.06252145	0.06358685	0.0754846
background391	0.06517485	0.08213835	0.0704444
background392	0.0783925	0.06698625	0.07244
