AllSNP.0.0001	AllSNP.0.001	AllSNP.0.01
background50	0.0741585	0.115003	0.0963602
background51	0.1243235	0.115354	0.0943304
background52	0.139238	0.1307965	0.0928535
background53	0.1966245	0.1188385	0.100849
background54	0.1766955	0.1273955	0.101988
background55	0.2064275	0.1528	0.0973964
background56	0.117712	0.115545	0.0999275
background57	0.204585	0.1230295	0.0962511
background58	0.116757	0.122513	0.100006
background59	0.1396725	0.127019	0.101308
background60	0.227313	0.1213905	0.100849
background61	0.1534575	0.1335185	0.10099
background62	0.1411925	0.1238645	0.0915546
background63	0.1302055	0.1275205	0.098075
background64	0.1896015	0.1249715	0.10259
background65	0.1732585	0.115884	0.0971463
background66	0.202038	0.112374	0.0948075
background67	0.1100095	0.113885	0.100372
background68	0.1314	0.1263725	0.099259
background69	0.1130865	0.1134225	0.10149
background70	0.192468	0.113867	0.0933607
background71	0.207082	0.1295045	0.100382
background72	0.2123355	0.1115515	0.10303
background73	0.2250245	0.11725	0.10259
background74	0.1482615	0.116615	0.102457
background75	0.131089	0.1202685	0.101161
background76	0.167278	0.1254125	0.0944011
background77	0.11597165	0.130797	0.0974468
background78	0.160692	0.127504	0.0984831
background79	0.188129	0.1183295	0.102258
background80	0.2074115	0.110497	0.098075
background81	0.1423065	0.1363825	0.101695
background82	0.1387635	0.112641	0.0994751
background83	0.1553035	0.1362735	0.0997444
background84	0.09510645	0.108913	0.0952531
background85	0.1098215	0.10188935	0.100583
background86	0.2028975	0.126235	0.0935031
background87	0.10857575	0.125177	0.095739
background88	0.09266175	0.102239	0.0968877
background89	0.118921	0.1094215	0.100638
background90	0.124484	0.1014365	0.100578
background91	0.105519	0.103391	0.0934341
background92	0.172394	0.105842	0.0992416
background93	0.1603345	0.1080415	0.0942747
background94	0.05820625	0.1276195	0.0967493
background95	0.0858246	0.1258355	0.0964188
background96	0.247975	0.1027785	0.096696
background97	0.1748135	0.123796	0.0974325
background98	0.10221775	0.108279	0.0937343
background99	0.12955	0.1603235	0.0979658
background100	0.156313	0.121412	0.101004
background101	0.143431	0.132282	0.0999275
background102	0.22368	0.138174	0.0945449
background103	0.122912	0.09268825	0.0991086
background104	0.207255	0.111789	0.0977092
background105	0.07930675	0.0869366	0.0982258
background106	0.2405145	0.1180135	0.0997553
background107	0.11814	0.0988615	0.0977099
background108	0.1437415	0.1272735	0.0957008
background109	0.1992275	0.111452	0.0975307
background110	0.1334215	0.1149565	0.102041
background111	0.138805	0.1234785	0.100761
background112	0.0911401	0.1380745	0.100338
background113	0.0790639	0.1128695	0.0938207
background114	0.153221	0.106177	0.0988387
background115	0.1739365	0.1283025	0.099259
background116	0.1392735	0.133688	0.0977099
background117	0.1505735	0.109978	0.097654
background118	0.1250645	0.102228	0.0943304
background119	0.178909	0.09997655	0.0996388
background120	0.0671752	0.102367	0.0977099
background121	0.106368	0.0977099	0.0971817
background122	0.2125945	0.1090035	0.0984831
background123	0.130639	0.1260625	0.0962083
background124	0.144803	0.126351	0.0954381
background125	0.1667165	0.0840938	0.102748
background126	0.178489	0.108727	0.0945274
background127	0.1139026	0.122672	0.0991077
background128	0.124045	0.120291	0.096429
background129	0.1277655	0.117136	0.0976866
background130	0.1529255	0.116758	0.10259
background131	0.10310485	0.1015825	0.104211
background132	0.1976575	0.1098635	0.0956805
background133	0.2544535	0.112633	0.0957971
background134	0.165686	0.09910065	0.0966065
background135	0.0773739	0.1133345	0.0957447
background136	0.215673	0.11988	0.0959204
background137	0.0877061	0.12056	0.093874
background138	0.06243885	0.10861	0.100849
background139	0.0631072	0.09692695	0.0952766
background140	0.1312335	0.130491	0.0972106
background141	0.1081825	0.1152145	0.10259
background142	0.18895	0.127058	0.0982309
background143	0.116486	0.1348215	0.100937
background144	0.0628525	0.1144355	0.102514
background145	0.0791928	0.143124	0.0989758
background146	0.1682385	0.0924971	0.0958462
background147	0.117268	0.1100765	0.0953331
background148	0.186241	0.0997841	0.0981983
background149	0.0777828	0.1116205	0.0999275
background150	0.1890395	0.127583	0.0966195
background151	0.144464	0.1270715	0.102857
background152	0.1311685	0.109672	0.10259
background153	0.1583045	0.1111705	0.0983965
background154	0.1411895	0.121974	0.0984422
background155	0.106937	0.11803	0.0953722
background156	0.235548	0.115986	0.0923461
background157	0.07092235	0.1190135	0.0939983
background158	0.0956105	0.112833	0.10047
background159	0.1814385	0.11137	0.0933077
background160	0.1694085	0.1030845	0.098722
background161	0.1735285	0.1080555	0.0941796
background162	0.1804865	0.1105215	0.0937273
background163	0.05618835	0.1073735	0.0981231
background164	0.10750625	0.1221045	0.0988729
background165	0.1250155	0.1116825	0.0916295
background166	0.10442015	0.110146	0.0976856
background167	0.1349055	0.122449	0.100028
background168	0.09147415	0.120481	0.0990253
background169	0.1532915	0.1225885	0.10193
background170	0.175437	0.1095045	0.0978902
background171	0.04074835	0.1259315	0.0951327
background172	0.2284795	0.108744	0.0983
background173	0.08813815	0.119912	0.09238
background174	0.1709065	0.107795	0.0977099
background175	0.118784	0.14331	0.10047
background176	0.1682185	0.1207135	0.0971622
background177	0.1674555	0.108741	0.0999275
background178	0.1617925	0.1291345	0.102041
background179	0.148942	0.123851	0.10047
background180	0.14211	0.1119335	0.0961609
background181	0.160771	0.09734135	0.10071
background182	0.211263	0.1449975	0.0999275
background183	0.153164	0.111004	0.0969666
background184	0.190776	0.115151	0.101242
background185	0.1932235	0.1152875	0.096696
background186	0.1980465	0.123495	0.100251
background187	0.0925313	0.1243145	0.0964085
background188	0.127839	0.125568	0.0998119
background189	0.1636565	0.1255155	0.100405
background190	0.153698	0.120596	0.0984831
background191	0.137235	0.11622	0.0993839
background192	0.06161395	0.123481	0.10047
background193	0.09145245	0.116321	0.0983604
background194	0.1379535	0.1187175	0.0952804
background195	0.1095535	0.121379	0.102314
background196	0.2074645	0.1129685	0.0946054
background197	0.1158645	0.1280565	0.0977099
background198	0.1801125	0.1338875	0.092523
background199	0.0986176	0.1296255	0.0962971
background200	0.184593	0.120947	0.0930652
background201	0.1407395	0.1214285	0.102785
background202	0.1693925	0.107932	0.099259
background203	0.150192	0.0946179	0.100164
background204	0.113051	0.1082475	0.095334
background205	0.145352	0.119395	0.0977099
background206	0.123388	0.1058955	0.10259
background207	0.1304285	0.122031	0.100578
background208	0.1654245	0.111746	0.0979648
background209	0.113673	0.1171695	0.0979151
background210	0.1512935	0.1269915	0.0954201
background211	0.102526	0.1074315	0.104675
background212	0.2062575	0.1150315	0.100317
background213	0.131746	0.1116415	0.0927835
background214	0.0769276	0.1389775	0.0978161
background215	0.134909	0.1061075	0.0938302
background216	0.145733	0.101644	0.0966521
background217	0.1048821	0.136111	0.102481
background218	0.1774205	0.119565	0.0974468
background219	0.07733905	0.116574	0.10047
background220	0.08282935	0.1244455	0.103506
background221	0.09575455	0.122987	0.0996695
background222	0.1744935	0.1106615	0.0952757
background223	0.2058145	0.111144	0.0958153
background224	0.10111875	0.102289	0.099259
background225	0.2135585	0.1226995	0.0943492
background226	0.1564195	0.123317	0.0973964
background227	0.1762295	0.109488	0.10099
background228	0.223464	0.125174	0.0923461
background229	0.152949	0.1048035	0.0999275
background230	0.1459765	0.1099335	0.0994216
background231	0.106379	0.109232	0.0987058
background232	0.070537	0.1112525	0.0998991
background233	0.192701	0.1289325	0.0971817
background234	0.07606565	0.1074345	0.0995384
background235	0.148	0.12315	0.093189
background236	0.158762	0.10688	0.10047
background237	0.1446145	0.130207	0.105634
background238	0.1958085	0.1217305	0.100638
background239	0.147717	0.122964	0.0966407
background240	0.1057865	0.1238765	0.0948075
background241	0.193155	0.1175065	0.0974057
background242	0.1540165	0.1186365	0.0950861
background243	0.0769761	0.109413	0.0977099
background244	0.0669589	0.112597	0.0982309
background245	0.1435895	0.143421	0.103401
background246	0.1676355	0.1058665	0.0938207
background247	0.2069945	0.1232235	0.0953722
background248	0.1440135	0.12413	0.104034
background249	0.1644445	0.120429	0.0965522
background250	0.0649823	0.0962259	0.0938207
background251	0.199378	0.108337	0.105875
background252	0.040003	0.134551	0.0984831
background253	0.186904	0.1041935	0.104849
background254	0.196155	0.1492275	0.0993839
background255	0.1778685	0.115227	0.0938207
background256	0.1788685	0.120596	0.100303
background257	0.198712	0.1434105	0.0977099
background258	0.19316	0.126685	0.0922917
background259	0.1512435	0.1316565	0.102041
background260	0.1449105	0.109491	0.102748
background261	0.0450526	0.1268165	0.099259
background262	0.195914	0.125177	0.0966869
background263	0.07800305	0.1184055	0.0961065
background264	0.16903	0.10225335	0.0942305
background265	0.144106	0.124152	0.101968
background266	0.1566515	0.116983	0.0977428
background267	0.168724	0.1104835	0.10047
background268	0.1434155	0.1143185	0.0995067
background269	0.164884	0.120287	0.105307
background270	0.13365	0.114769	0.0966206
background271	0.160012	0.108024	0.0970678
background272	0.08618375	0.1369535	0.0996597
background273	0.118768	0.1274865	0.0990912
background274	0.08381535	0.0977134	0.095739
background275	0.1217795	0.1222445	0.0977099
background276	0.0815651	0.117583	0.10047
background277	0.13198	0.1195795	0.100303
background278	0.0714239	0.139613	0.0959774
background279	0.170867	0.1188445	0.099177
background280	0.1321515	0.1273685	0.098292
background281	0.150939	0.107663	0.0977099
background282	0.2259425	0.116162	0.101699
background283	0.1283225	0.1189845	0.101431
background284	0.1476525	0.104788	0.100937
background285	0.158829	0.120594	0.0941796
background286	0.2054535	0.129787	0.0963544
background287	0.1198715	0.101793	0.101059
background288	0.10445555	0.1294715	0.102351
background289	0.06415855	0.1368675	0.0917305
background290	0.1770955	0.103645	0.10047
background291	0.1975185	0.103423	0.097241
background292	0.101192	0.1219255	0.10259
background293	0.1945995	0.126268	0.095334
background294	0.110053	0.128139	0.097488
background295	0.1123455	0.103141	0.0980145
background296	0.177925	0.123384	0.0941796
background297	0.1586745	0.116202	0.0996046
background298	0.130945	0.1223295	0.0956213
background299	0.1248914	0.1091445	0.0942795
background300	0.1490055	0.09383405	0.0975182
background301	0.133587	0.1122585	0.0909317
background302	0.167329	0.131202	0.0977099
background303	0.1578585	0.104279	0.105436
background304	0.119962	0.1144465	0.10047
background305	0.167161	0.119977	0.10047
background306	0.1763325	0.142256	0.0938207
background307	0.1393255	0.122447	0.10099
background308	0.0939611	0.128558	0.0963602
background309	0.173597	0.1020615	0.0973474
background310	0.0854417	0.1309765	0.099259
background311	0.1550285	0.127428	0.0991086
background312	0.1623395	0.1079265	0.0922601
background313	0.160973	0.1180765	0.0964879
background314	0.122627	0.1206345	0.0978194
background315	0.1827845	0.117549	0.101317
background316	0.1825345	0.1228355	0.100849
background317	0.174012	0.115585	0.0985343
background318	0.1278705	0.1138445	0.0956213
background319	0.0995297	0.0888208	0.0928535
background320	0.177715	0.126491	0.0947368
background321	0.16613	0.106115	0.0977099
background322	0.1516295	0.09303935	0.0996446
background323	0.202964	0.1131175	0.0907871
background324	0.082782	0.1297085	0.0999924
background325	0.1835665	0.133247	0.0982309
background326	0.109306	0.1062525	0.0999175
background327	0.140246	0.1300585	0.0998691
background328	0.10825135	0.1204875	0.0932307
background329	0.1026655	0.130446	0.0913187
background330	0.1317985	0.1072365	0.0941796
background331	0.0982133	0.105139	0.0977099
background332	0.1666425	0.09586105	0.102506
background333	0.155284	0.1324325	0.0923469
background334	0.080965	0.118298	0.0931919
background335	0.1913465	0.1208245	0.0941787
background336	0.1744815	0.1262235	0.0983627
background337	0.127726	0.1304335	0.0948401
background338	0.1195815	0.109227	0.0954726
background339	0.1424405	0.1090335	0.100849
background340	0.1646055	0.1129445	0.0974422
background341	0.11788	0.1276415	0.10047
background342	0.1388865	0.121317	0.0960709
background343	0.121251	0.1272485	0.100833
background344	0.09902915	0.1105175	0.0935909
background345	0.183969	0.118979	0.10047
background346	0.1896485	0.1198305	0.098722
background347	0.1286965	0.112917	0.0974468
background348	0.10009995	0.130208	0.0984098
background349	0.1372835	0.1286865	0.0948856
background350	0.169198	0.1215875	0.0916363
background351	0.1451665	0.1031465	0.099259
background352	0.148489	0.116871	0.096006
background353	0.1904115	0.0959634	0.0956805
background354	0.1332095	0.1128935	0.102784
background355	0.1983815	0.09643695	0.102139
background356	0.198706	0.0995279	0.0939769
background357	0.161098	0.09841905	0.102158
background358	0.1261315	0.123269	0.0943052
background359	0.1759	0.114033	0.099177
background360	0.150506	0.1254525	0.0959204
background361	0.127181	0.0944986	0.0931129
background362	0.217198	0.1154935	0.0938207
background363	0.10492015	0.1265325	0.0977605
background364	0.2510125	0.1096355	0.0993447
background365	0.0607776	0.09909705	0.0983662
background366	0.1105045	0.121081	0.0994438
background367	0.1621825	0.1153495	0.099259
background368	0.1177985	0.1107855	0.100197
background369	0.1526695	0.1113275	0.0974468
background370	0.131406	0.106478	0.0958153
background371	0.1495565	0.1322615	0.102757
background372	0.155446	0.130842	0.0986686
background373	0.164448	0.114418	0.0990253
background374	0.1322255	0.1126545	0.0931656
background375	0.122932	0.1288665	0.0979648
background376	0.1944985	0.09787015	0.0993839
background377	0.1742075	0.118419	0.096969
background378	0.09677905	0.1015155	0.099259
background379	0.190489	0.09920765	0.101818
background380	0.151455	0.130769	0.0928094
background381	0.1723485	0.114589	0.0977099
background382	0.156657	0.1382665	0.104276
background383	0.190331	0.1056225	0.0999887
background384	0.193943	0.1080145	0.0957235
background385	0.10169165	0.122627	0.0944844
background386	0.0967534	0.103106	0.0957465
background387	0.133372	0.137506	0.0989055
background388	0.254514	0.1203575	0.104456
background389	0.110679	0.110934	0.0910428
background390	0.1907395	0.0949389	0.0987234
background391	0.1620375	0.112619	0.0966521
background392	0.1877705	0.09001455	0.0978785
background393	0.167513	0.09981075	0.100584
background394	0.1308155	0.115501	0.098843
background395	0.1810855	0.1251395	0.10047
background396	0.187453	0.115082	0.0959262
background397	0.1851095	0.1259935	0.0958805
background398	0.08572175	0.125506	0.0951327
background399	0.162781	0.114117	0.0931656
background400	0.1228225	0.09868385	0.101798
background401	0.09874445	0.1099615	0.0991017
background402	0.203156	0.1392725	0.104211
background403	0.2107575	0.1305075	0.0984368
background404	0.18226	0.118794	0.102041
background405	0.1632505	0.1278255	0.0958153
background406	0.138447	0.1166395	0.0998489
background407	0.1459105	0.13198	0.0974022
background408	0.09671955	0.0960836	0.096969
background409	0.09861785	0.09795775	0.0904079
background410	0.164366	0.115838	0.0910599
background411	0.1594265	0.145205	0.0971334
background412	0.1486995	0.1263605	0.09819
background413	0.159482	0.103646	0.0989712
background414	0.1060285	0.1243055	0.0978444
background415	0.159649	0.112684	0.0942305
background416	0.09449425	0.1079225	0.100544
background417	0.1854995	0.128847	0.0993839
background418	0.1698235	0.1416245	0.102867
background419	0.229728	0.128522	0.0923308
background420	0.1079115	0.1131505	0.0951594
background421	0.0757887	0.1566245	0.0956922
background422	0.134742	0.1141325	0.10047
background423	0.1908215	0.117174	0.0899054
background424	0.152704	0.1196775	0.0984831
background425	0.1198395	0.1161205	0.0942787
background426	0.173382	0.1145595	0.10047
background427	0.174484	0.1453	0.0960381
background428	0.105558	0.1226445	0.0982859
background429	0.221483	0.1223825	0.0966125
background430	0.141836	0.1138015	0.102139
background431	0.1315325	0.1037615	0.10259
background432	0.031286	0.1179975	0.100937
background433	0.1427805	0.11652	0.102748
background434	0.107356	0.124615	0.0987548
background435	0.119461	0.12476	0.0937821
background436	0.1683995	0.127496	0.0960672
background437	0.1233655	0.09330455	0.0971569
background438	0.1985855	0.0951956	0.0942747
background439	0.12151	0.121664	0.100786
background440	0.175582	0.121953	0.100674
background441	0.1568095	0.1085645	0.0997287
background442	0.06933675	0.111948	0.0990936
background443	0.1455025	0.124765	0.0939942
background444	0.17629	0.113404	0.095194
background445	0.132489	0.1164045	0.100159
background446	0.1173335	0.118596	0.099259
background447	0.1544565	0.12109	0.0977099
background448	0.2449245	0.1161915	0.0963847
background449	0.139579	0.12863	0.10047
background450	0.1418595	0.1137785	0.0938207
background451	0.0988856	0.113363	0.0966561
background452	0.1755335	0.09696255	0.0931406
background453	0.07710665	0.113549	0.101061
background454	0.134999	0.127823	0.10307
background455	0.111555	0.1195275	0.0950828
background456	0.145627	0.1301745	0.0949895
background457	0.175899	0.1261985	0.099177
background458	0.21834	0.125613	0.0948666
background459	0.1862935	0.124647	0.0971381
background460	0.171136	0.126791	0.0992288
background461	0.115544	0.131559	0.0992994
background462	0.08199515	0.1157905	0.0981931
background463	0.1098518	0.127403	0.099259
background464	0.1252135	0.124068	0.0968437
background465	0.175061	0.1221165	0.0961515
background466	0.139423	0.120041	0.099259
background467	0.0887752	0.09396125	0.10047
background468	0.1014993	0.1062915	0.098649
background469	0.1026567	0.107657	0.10047
background470	0.10747995	0.119099	0.0946857
background471	0.174315	0.106536	0.10047
background472	0.1679545	0.128332	0.101418
background473	0.208342	0.122627	0.0988458
background474	0.196365	0.123743	0.103952
background475	0.181526	0.108086	0.0972114
background476	0.1690475	0.124076	0.0931112
background477	0.170317	0.118184	0.0962304
background478	0.1734995	0.1129235	0.100849
background479	0.1234405	0.115076	0.0950639
background480	0.1667095	0.1448555	0.095334
background481	0.150494	0.118298	0.0959774
background482	0.0990103	0.1062275	0.100937
background483	0.162891	0.108687	0.0984788
background484	0.08588395	0.09732305	0.0944601
background485	0.1840045	0.122279	0.102098
background486	0.0963616	0.1174285	0.0992986
background487	0.101602	0.1233235	0.0929954
background488	0.1472065	0.11263	0.100184
background489	0.1664215	0.1256145	0.090871
background490	0.09109655	0.1227145	0.097955
background491	0.0622879	0.127837	0.0955298
background492	0.2077075	0.1047335	0.101389
background493	0.1363505	0.11546	0.0974929
background494	0.2011095	0.1103825	0.0984551
background495	0.1366885	0.139804	0.0990001
background496	0.203063	0.108695	0.0969305
background497	0.133482	0.142363	0.0923461
background498	0.1234885	0.130772	0.0979384
background499	0.2364205	0.09820945	0.0946857
background500	0.151514	0.1167745	0.100093
background501	0.1866445	0.1156255	0.099964
background502	0.132713	0.122685	0.10259
background503	0.2030605	0.1285515	0.098292
background504	0.148438	0.1160075	0.0999275
background505	0.120648	0.1248605	0.0948401
background506	0.1175705	0.111987	0.0927835
background507	0.1297305	0.109187	0.0929059
background508	0.11806945	0.1336125	0.0946148
background509	0.1168347	0.1139005	0.10047
background510	0.1277405	0.1276735	0.0977099
background511	0.06389605	0.09058015	0.0924321
background512	0.151618	0.130411	0.0923847
background513	0.1297675	0.1110085	0.0977099
background514	0.115604	0.1220725	0.094409
background515	0.1344895	0.133915	0.0962304
background516	0.207765	0.1178485	0.0968877
background517	0.1736195	0.11145	0.102304
background518	0.1581575	0.1152275	0.0956135
background519	0.1981365	0.1264825	0.0930275
background520	0.1393265	0.118666	0.0999275
background521	0.144888	0.1249985	0.0978998
background522	0.1950665	0.1169975	0.0950828
background523	0.0848902	0.117498	0.0943304
background524	0.1552935	0.104259	0.0998734
background525	0.1488515	0.1249635	0.099192
background526	0.1271765	0.1252105	0.101431
background527	0.1479965	0.1069925	0.0986774
background528	0.1731425	0.118078	0.101453
background529	0.238386	0.1347945	0.0990001
background530	0.218719	0.1327595	0.105403
background531	0.11372855	0.103377	0.100245
background532	0.2379175	0.102736	0.103051
background533	0.1244285	0.08913155	0.0944323
background534	0.181367	0.1194955	0.102023
background535	0.0939359	0.120627	0.0977099
background536	0.118951	0.126386	0.10259
background537	0.183213	0.133519	0.0979656
background538	0.0798836	0.119246	0.098722
background539	0.09829095	0.1156265	0.0960364
background540	0.1721385	0.107654	0.0952317
background541	0.221737	0.1317035	0.0990122
background542	0.1656605	0.124774	0.0996351
background543	0.1498075	0.09955145	0.104374
background544	0.17897	0.109673	0.102589
background545	0.1339455	0.136426	0.10047
background546	0.201024	0.115349	0.0946857
background547	0.176591	0.133241	0.0952503
background548	0.0997124	0.1425435	0.0971966
background549	0.1328215	0.1012555	0.0992986
background550	0.1493055	0.1218355	0.10572
background551	0.1366855	0.1222235	0.102225
background552	0.156945	0.1308205	0.0998691
background553	0.1653095	0.1211145	0.0968877
background554	0.1820565	0.09311625	0.0976273
background555	0.08041085	0.111926	0.0952531
background556	0.1665125	0.1131675	0.0993244
background557	0.192134	0.137435	0.0952424
background558	0.2094605	0.112381	0.093189
background559	0.1710225	0.119119	0.102041
background560	0.145212	0.129294	0.0977099
background561	0.19463	0.117967	0.0960672
background562	0.1391335	0.115265	0.0968742
background563	0.1798605	0.119555	0.10259
background564	0.1157075	0.121935	0.0972768
background565	0.1969335	0.106734	0.0958443
background566	0.197047	0.1151695	0.10117
background567	0.1974905	0.1288435	0.0996493
background568	0.1259705	0.1372285	0.10047
background569	0.1211115	0.0947884	0.100849
background570	0.1831925	0.137132	0.103673
background571	0.1737335	0.09673955	0.0950323
background572	0.09591565	0.1259265	0.0954201
background573	0.08366855	0.119685	0.0977099
background574	0.216408	0.119284	0.102777
background575	0.200356	0.119977	0.0977698
background576	0.1733325	0.103289	0.0957235
background577	0.164852	0.1176065	0.0992288
background578	0.2091535	0.0933018	0.092523
background579	0.118697	0.106701	0.104292
background580	0.10071815	0.121506	0.100849
background581	0.0813488	0.120596	0.10121
background582	0.1029326	0.123133	0.0946979
background583	0.1191625	0.121971	0.101504
background584	0.19647	0.125397	0.0964188
background585	0.09932815	0.1185335	0.0989055
background586	0.1531675	0.112352	0.0923029
background587	0.148843	0.1071255	0.0964408
background588	0.1734175	0.115127	0.099977
background589	0.1958315	0.121557	0.0976676
background590	0.1736745	0.1199375	0.100544
background591	0.1257695	0.1320375	0.0925417
background592	0.1057382	0.1166025	0.102724
background593	0.1840285	0.11669	0.0976676
background594	0.188336	0.0979129	0.0961515
background595	0.146132	0.140519	0.0977099
background596	0.1264105	0.1268215	0.10259
background597	0.221391	0.1124275	0.0980414
background598	0.1254715	0.1085965	0.0998931
background599	0.125946	0.117113	0.0953723
background600	0.117289	0.104716	0.0942305
background601	0.149011	0.1224715	0.0920605
background602	0.140689	0.1185715	0.0984831
background603	0.126681	0.1043125	0.0993839
background604	0.102309	0.107444	0.09819
background605	0.1565615	0.132894	0.0977099
background606	0.197611	0.121824	0.105043
background607	0.187101	0.127359	0.0948075
background608	0.181368	0.118305	0.0971816
background609	0.2727995	0.140611	0.0987916
background610	0.0949301	0.1111685	0.0949647
background611	0.232777	0.1074675	0.0977099
background612	0.1175645	0.1300295	0.0988594
background613	0.129054	0.1149965	0.0943304
background614	0.1391675	0.133197	0.085613
background615	0.1125395	0.1100185	0.0993662
background616	0.1302675	0.113013	0.0942164
background617	0.104049	0.0961391	0.101085
background618	0.1970515	0.115098	0.0974468
background619	0.08365635	0.1355485	0.0950023
background620	0.1839155	0.1356575	0.0966521
background621	0.1391815	0.123848	0.100114
background622	0.1908105	0.127304	0.0987976
background623	0.1489145	0.118777	0.0974674
background624	0.163108	0.110532	0.0942695
background625	0.06808755	0.102308	0.103653
background626	0.1259945	0.0963967	0.0999487
background627	0.149401	0.108712	0.0990422
background628	0.166645	0.1324275	0.0992944
background629	0.1317985	0.122507	0.0972114
background630	0.187869	0.11585	0.0971817
background631	0.2106545	0.103538	0.0982859
background632	0.200619	0.101352	0.0950572
background633	0.08586625	0.106219	0.0941796
background634	0.182429	0.1071	0.0985426
background635	0.09247105	0.1291855	0.100341
background636	0.1341125	0.1262365	0.0936779
background637	0.0340595	0.1288245	0.10047
background638	0.1564975	0.1296185	0.0977099
background639	0.148544	0.1024345	0.10557
background640	0.11454955	0.1211115	0.10047
background641	0.0870167	0.111863	0.0948731
background642	0.1167935	0.1052355	0.0988387
background643	0.203292	0.102847	0.0923461
background644	0.162974	0.129285	0.0886056
background645	0.1414425	0.127347	0.0995479
background646	0.190355	0.1232265	0.0993839
background647	0.1521185	0.1131245	0.098722
background648	0.2172025	0.112463	0.101236
background649	0.219905	0.1276825	0.0993244
background650	0.05925015	0.111575	0.0978161
background651	0.064486	0.1060175	0.0977099
background652	0.09769205	0.1156995	0.0938108
background653	0.150162	0.112894	0.0982309
background654	0.1242015	0.1255335	0.0963139
background655	0.219505	0.110315	0.100973
background656	0.187203	0.101642	0.0996158
background657	0.150867	0.120368	0.102843
background658	0.2149985	0.118066	0.10171
background659	0.1260705	0.1038905	0.0939857
background660	0.1534355	0.1069225	0.100331
background661	0.17793	0.126106	0.107881
background662	0.2353275	0.126732	0.10047
background663	0.1112748	0.1107005	0.0936587
background664	0.1107305	0.141668	0.0981931
background665	0.1811255	0.1109435	0.104055
background666	0.09331385	0.114498	0.0953152
background667	0.161473	0.1259555	0.10047
background668	0.2218525	0.1303285	0.10047
background669	0.140438	0.1249965	0.0968039
background670	0.179612	0.1140675	0.101201
background671	0.1499825	0.1215895	0.101108
background672	0.0872277	0.1239435	0.0938207
background673	0.1581035	0.149607	0.0999275
background674	0.2017135	0.1210725	0.0984479
background675	0.180775	0.106472	0.096267
background676	0.1402755	0.124325	0.0952531
background677	0.109094	0.1103975	0.104143
background678	0.170021	0.1503185	0.099177
background679	0.1687645	0.1178725	0.0977099
background680	0.120818	0.1327675	0.0957354
background681	0.0994028	0.1064	0.0960682
background682	0.13139	0.131293	0.0986194
background683	0.149402	0.108952	0.100674
background684	0.146133	0.1199015	0.10047
background685	0.1616295	0.1110485	0.10259
background686	0.05771645	0.107469	0.095334
background687	0.1624355	0.1341575	0.0982756
background688	0.1600015	0.126414	0.0987987
background689	0.1955225	0.10134885	0.0984788
background690	0.2084465	0.1058645	0.103919
background691	0.1837785	0.120928	0.0948936
background692	0.112104	0.116996	0.101287
background693	0.104539	0.113764	0.0955453
background694	0.1414185	0.124736	0.0933028
background695	0.09761205	0.12569	0.0997127
background696	0.1226115	0.1061185	0.0937161
background697	0.1327035	0.1320055	0.101139
background698	0.141787	0.116412	0.100979
background699	0.09150525	0.1053625	0.0956805
background700	0.114479	0.0919841	0.096792
background701	0.128348	0.1212395	0.0952605
background702	0.10233815	0.105478	0.0975192
background703	0.07264665	0.1272125	0.103051
background704	0.199371	0.116889	0.101103
background705	0.12801	0.107666	0.10047
