AllSNP.0.0001	AllSNP.0.001	AllSNP.0.01
True	0.154675	0.171703	0.119978
background1	0.10356185	0.09802365	0.101652
background2	0.09649355	0.111695	0.0977099
background3	0.191086	0.1307395	0.0974468
background4	0.1712055	0.114698	0.099259
background5	0.2183595	0.121422	0.104643
background6	0.2008925	0.1212085	0.101717
background7	0.136609	0.1292665	0.0918367
background8	0.1835935	0.1196325	0.10302
background9	0.1142595	0.110532	0.0967587
background10	0.172293	0.0980965	0.0978873
background11	0.167503	0.1267685	0.0995479
background12	0.1363825	0.125304	0.101247
background13	0.10461585	0.11903	0.0978161
background14	0.1489535	0.133943	0.0943127
background15	0.170621	0.134681	0.0978759
background16	0.136169	0.1104825	0.0992986
background17	0.1193235	0.120283	0.0995611
background18	0.1536265	0.1201005	0.0977099
background19	0.217474	0.135373	0.099259
background20	0.1211415	0.1171935	0.10047
background21	0.1918875	0.117186	0.0946369
background22	0.1070485	0.11698	0.0943304
background23	0.168615	0.106908	0.103976
background24	0.180709	0.132045	0.10259
background25	0.1261665	0.1256155	0.094908
background26	0.135816	0.1100325	0.100093
background27	0.169567	0.10151705	0.100578
background28	0.1398	0.1235015	0.100729
background29	0.1591935	0.1238795	0.0977099
background30	0.133629	0.1231755	0.0978161
background31	0.138737	0.105532	0.0943127
background32	0.1452565	0.1184465	0.0952272
background33	0.147251	0.1211975	0.0939983
background34	0.1000748	0.153883	0.095194
background35	0.2300215	0.134869	0.10259
background36	0.129994	0.1290305	0.0977099
background37	0.1927455	0.1016165	0.0934422
background38	0.161215	0.127133	0.0996016
background39	0.10367655	0.1409895	0.10047
background40	0.09555185	0.1250025	0.100113
background41	0.1514545	0.114307	0.099259
background42	0.2488475	0.134479	0.10047
background43	0.1464365	0.1139305	0.0960828
background44	0.1380645	0.1270605	0.10149
background45	0.15733	0.104598	0.10047
background46	0.1756115	0.1038515	0.10047
background47	0.09366675	0.121661	0.0983696
background48	0.08400195	0.112715	0.103104
background49	0.201711	0.1008195	0.099177
