relictMORE.0.0001	relictMORE.0.001	relictMORE.0.01	nonrelictMORE.0.0001	nonrelictMORE.0.001	nonrelictMORE.0.01
background84	0.117975	0.07939945	0.0698672	0.123367	0.08714685	0.1008275
background85	0.122678	0.0672833	0.0683727	0.119059	0.125703	0.0958757
background86	0.0102041	0.0803266	0.0683206	0.108133	0.1263225	0.1028525
background87	0.16681	0.06715985	0.0701492	0.126373	0.1149275	0.101257
background88	0.0158711	0.0881991	0.0702042	0.118517	0.1261555	0.1021495
background89	0.134696	0.07228185	0.0663627	0.210208	0.1090495	0.1046505
background90	0.109335	0.0793932	0.0647546	0.174552	0.0870384	0.09599725
background91	-0.00010102	0.0686191	0.0716424	0.131515	0.120229	0.09695735
background92	0.0978161	0.0958751	0.0625169	0.0535218	0.0796471	0.0925648
background93	-0.00482055	0.0513422	0.0697407	0.142215	0.108767	0.107405
background94	0.0568394	0.085467	0.0690786	0.115449	0.0916854	0.1007155
background95	0.123711	0.0529125	0.060645	0.113484	0.1029865	0.1037975
background96	0.0265196	0.09355855	0.0700457	0.161107	0.110579	0.1042705
background97	0.1146	0.06303555	0.0670696	0.158529	0.1053095	0.112038
background98	0.0331766	0.09146545	0.0623324	0.140036	0.111806	0.106508
background99	0.0781698	0.067151	0.0626357	0.0606572	0.1196385	0.09728905
background100	0.129349	0.0872598	0.0604231	0.139897	0.130657	0.1016475
background101	0.0245993	0.0819894	0.0666387	0.117596	0.13066	0.09739815
background102	0.0918367	0.0726468	0.0632956	0.17617	0.114217	0.1004165
background103	0.092523	0.0810433	0.0612568	0.159852	0.0996507	0.1005895
background104	0.0365919	0.08152155	0.0694239	0.186414	0.125696	0.103323
background105	0.0705448	0.08207725	0.0670696	0.141462	0.1034685	0.0951903
background106	0.0365406	0.0669368	0.0712918	0.0894294	0.115593	0.1036845
background107	0.118272	0.09639935	0.0632836	0.124	0.12693	0.09596805
background108	0.0878031	0.06410595	0.065113	0.0784753	0.1231475	0.100737
background109	0.0243224	0.1035145	0.0669245	0.179511	0.1151835	0.10475
background110	0.0681064	0.111314	0.0669029	0.137286	0.107637	0.0942858
background111	0.119997	0.0584725	0.0568287	0.13869	0.1317935	0.1038165
background112	0.0723734	0.07688845	0.065113	0.0457208	0.1331495	0.09782565
background113	0.0460099	0.09834155	0.0633736	0.103093	0.1165745	0.102855
background114	0.130367	0.0702821	0.0598512	0.0864416	0.0965978	0.09286475
background115	0.0922627	0.08940255	0.0670696	0.119635	0.118073	0.0925301
background116	0.0974468	0.0799676	0.063267	0.192188	0.122106	0.0928987
background117	0.0688434	0.07984675	0.0680556	0.0979648	0.09674745	0.09557615
background118	0.129713	0.05917925	0.0636915	0.0422831	0.120551	0.110532
background119	0.0704467	0.06956515	0.0632922	0.106426	0.106756	0.100893
background120	0.0796535	0.05794815	0.0676869	0.164033	0.1135505	0.1005135
background121	0.182839	0.0778928	0.0648686	0.0848338	0.09892645	0.105637
background122	0.0793172	0.08350235	0.0631507	0.140219	0.103299	0.1009205
background123	0.0876222	0.07440575	0.0600138	0.191455	0.1318975	0.09955865
background124	0.00909568	0.08202355	0.0630574	0.161413	0.1068035	0.102873
background125	0.0803474	0.0548165	0.0626357	0.142857	0.1190695	0.1003805
background126	-0.00908363	0.10007995	0.0630621	0.0934696	0.10527	0.095334
background127	0.0883131	0.1000816	0.0626357	0.186364	0.1391075	0.107592
